PCT,BURGLARY                              ,FELONY ASSAULT                        ,GRAND LARCENY                         ,GRAND LARCENY OF MOTOR VEHICLE                                  ,MURDER & NON NEGL. MANSLAUGHTER                                ,RAPE                                  ,ROBBERY                               ,TOTAL SEVEN MAJOR FELONY OFFENSES
1,234.917233268,100.826471562,1355.16901772,79.9090726191,1.05243770109,8.29262329338,121.975401608,1901.33132053
5,147.836269768,125.507822101,588.399028489,45.2301655776,1.85054353245,7.30826174147,142.751016622,1056.93229713
6,217.456438264,109.372020579,1126.70066766,80.7386013966,1.29537262075,9.15095392047,193.298273895,1735.10852184
7,104.444907055,118.756062718,303.746139319,72.5786207062,2.56338145974,10.3289457626,165.285844407,771.040475844
9,239.163160896,162.180399353,793.075010223,87.2858530844,2.24505162169,14.8566541934,200.740476673,1495.11440923
10,123.750446342,115.702288479,670.385730495,76.4825444165,2.14109419104,10.145786337,136.720307803,1130.09725611
13,356.228346922,162.865811578,1553.4363022,105.595057316,1.94579697369,14.0034705127,225.602427383,2417.36410819
14,498.511655197,207.898441458,2789.95188142,44.1025910149,2.68953110261,12.2948439882,284.56696151,3838.75015002
17,162.60153143,68.8900671295,895.875565771,50.6885106852,0.648841600318,8.71649567028,87.2272483071,1273.85450044
18,302.246613781,161.5816695,2319.58778989,86.6277515503,2.14510853772,13.2351603052,205.685331687,3090.17921616
19,393.211798734,107.875582792,1635.44227853,160.485298155,1.69218703237,11.2806320125,207.089671796,2514.94402154
20,137.351595531,71.513904866,765.263836543,72.4222142101,1.06684600706,7.66475702106,115.098520515,1168.99863989
22,3.19465842964,7.5458282616,57.9054466533,0.302619091927,0.128412463081,2.6189367492,26.5885749826,97.6726724735
23,112.054020939,255.596742701,278.586372083,68.4921433542,6.39578867857,24.4735281813,286.080626539,1027.20710525
24,156.554630209,131.821825914,542.097829162,89.7614324159,2.58630698167,12.2683967527,229.346911987,1160.13848532
25,129.623666405,262.029231143,270.137144747,66.773493431,6.88956234757,21.9463165826,254.521855035,1004.48580762
26,87.5875538703,101.724031763,309.380357351,53.8463553978,2.25759424464,11.3985866912,181.166181724,745.447659332
28,120.912060969,209.364067085,280.922732561,48.5258660988,4.76273110225,15.794229583,237.214015598,910.268268503
30,145.298195658,224.926091653,207.747650948,63.9911480489,5.57944422393,22.4263359917,256.175167884,922.448819204
32,162.963585881,344.262026128,273.609116713,77.3311871542,11.12032738,31.4620603942,309.209058438,1206.35900547
33,141.622022109,207.780958641,249.375483327,94.2749660699,4.78160341562,19.8763083763,224.182461774,936.890839622
34,278.097717808,225.747283905,369.92003556,183.430494075,5.06471751421,24.0385942507,273.87589573,1352.10531844
40,246.365248207,464.999170682,455.123966174,171.685803197,13.1814893985,31.5441116315,488.828235402,1863.59871824
41,215.492233825,422.303724571,259.734467693,129.52973813,6.29658176664,19.0657548621,259.603528724,1303.75316917
42,246.530318429,358.759534339,258.646097213,161.72179074,10.8541246161,29.673693871,339.331191364,1399.33119829
43,436.205213194,533.440562939,615.073429958,416.669603419,12.8626537909,42.9270266317,545.836352786,2593.94286137
44,356.613930529,594.749119725,498.803559924,285.100300827,16.5400958063,43.642975434,513.972896355,2297.50022199
45,249.188283318,164.523931327,460.384797336,335.773162769,3.95717115368,14.5997143658,192.93659898,1416.39438552
46,363.274449151,497.798429669,405.541414989,217.118314856,15.0370843884,40.0906043839,485.831317792,2020.06795516
47,388.510935683,446.999334419,361.493950869,364.76410474,16.9657230507,38.82792414,408.449566215,2012.77426549
48,302.823869888,375.00564627,363.305433747,175.986128822,9.39343058011,28.8952525572,386.482271565,1631.12447542
49,364.577340422,212.311420625,431.904733696,333.208890377,6.04523039024,19.1764287469,275.437906785,1637.46566498
50,211.204052582,132.867354337,364.181252344,214.22651546,3.95271675142,13.6037714561,162.149631448,1096.77041635
52,525.345791116,467.417068888,573.39303106,294.39859054,11.7193884409,32.0352700334,517.882759267,2413.36999294
60,222.499878941,260.633659028,495.88834054,148.523721811,7.48771202415,17.8405537733,319.864518323,1468.35420589
61,431.982650036,160.889875518,650.184326553,305.736389658,5.23953284482,12.8169243584,260.131991076,1823.17417192
62,398.543379752,172.087361913,514.748319366,241.53826992,3.24152575358,12.0405231791,223.387880856,1561.88437358
63,239.260725273,147.105529617,565.751249942,247.856386064,4.87898749577,12.131647636,232.392925389,1442.77377795
66,369.71545816,156.421783189,432.319466103,215.370512803,3.02608244692,12.2282493056,199.333937994,1383.03636685
67,487.419569085,541.632205788,583.939151986,365.931614723,18.9289399553,39.934868582,492.317470891,2524.11222304
68,306.726476922,126.043654416,397.23028944,221.067963849,1.46566377654,9.4405651037,128.395142625,1187.62233024
69,221.668483015,205.828743995,343.679683713,231.866080654,6.18419962445,19.2235700554,272.167293378,1296.05873621
70,497.342177973,361.591583758,732.776022121,292.304424975,10.0863861054,30.8342473584,546.754233779,2468.37460317
71,332.462710654,367.535335355,467.947200531,211.217740383,10.0061919505,21.9056764746,377.396312402,1784.03222543
72,302.376094445,224.049084935,370.164446507,212.090989763,4.95643497955,20.2998023666,274.466104219,1404.2078875
73,318.130193903,571.840265178,416.447702155,179.904402875,19.495989358,36.8009837325,516.107685922,2053.95486648
75,507.266763582,802.756085771,827.595259199,463.438872522,25.6544166286,67.543743093,827.664746968,3507.65578663
76,124.616522468,98.6757006911,215.621377333,72.4766163981,2.26137876411,6.28958636194,114.844489854,630.760871903
77,337.944440775,353.902644939,380.968262825,166.212791176,13.9226679124,27.9584058489,371.125229547,1647.44267065
78,210.380478404,80.4411372441,421.820506713,130.095427307,1.34913789801,7.52968797105,179.072519603,1025.27002357
79,350.440645283,450.75627596,397.803386961,174.615690661,14.5403132629,32.7487420631,479.58054671,1893.16698016
81,293.561199768,322.322448842,323.489188883,125.179251854,12.6445370544,22.0488170922,354.153397509,1445.07616988
83,485.419107358,373.874562374,349.615120811,212.271131043,11.2651988415,35.9410573786,432.242411859,1891.9236458
84,156.47571886,140.257004037,619.087155223,76.2808016366,1.6143516897,5.99740352393,206.347773762,1204.70695447
88,177.381742149,163.024777579,397.763988897,146.832676063,5.51524099553,11.533244746,264.388485471,1161.3961493
90,419.386255982,214.996112606,501.913774833,223.156054876,5.55850265059,18.381672349,378.140840478,1747.4815362
94,227.630520663,85.3858773397,302.669827939,166.692393332,1.7575130186,6.72822312541,134.204246351,913.377446913
100,93.7339726536,97.0906776939,125.650764656,36.6255672241,2.0803662449,6.95325046378,63.5690981595,422.557952865
101,144.21018085,208.03489089,159.676149056,85.5713204036,6.42731827486,19.0451271177,160.667271641,780.565342311
102,369.876952387,250.784940716,405.424356199,413.537724407,4.97190380667,23.2908998931,316.801884956,1780.62311986
103,310.694465233,352.565262637,485.068024351,261.062923338,11.7802655411,32.9097383916,436.908024181,1886.59540222
104,485.525855966,197.356124578,504.809100828,413.755094834,3.33117255333,17.0605740171,281.93767709,1898.61748431
105,464.743197302,283.949963813,510.050613789,462.156446803,8.84587018423,31.1865867216,332.175921351,2084.53582676
106,311.602448467,191.536412415,404.819175992,377.608501389,5.04059904025,18.4871933018,291.762164078,1592.93889272
107,383.493908824,122.986443126,531.086004523,356.857726422,2.81314496963,15.0819645419,279.701866978,1688.29145872
108,360.261850814,145.497737398,507.576780707,318.313363581,3.11018062376,15.1788797819,210.782315939,1558.66278629
109,551.602962928,247.380100796,935.352656258,473.827841027,5.33702725526,19.1907191251,276.153882211,2504.71136538
110,385.168369611,262.324962829,622.993669768,242.838566298,5.19749893532,32.8745601565,404.967921607,1950.70642577
111,292.453893086,59.3347799642,404.470214445,223.798129182,0.892663476099,4.40956154625,89.5240899615,1069.5926518
112,221.691443271,65.2541290277,522.634987484,224.230271182,1.06423658718,6.15479876161,132.351051691,1170.57891542
113,365.600661921,360.00325857,675.487517475,330.618624889,12.1791307126,33.2507739938,330.248431161,2100.26097434
114,507.852687892,298.446198902,738.19265929,411.94532822,5.82520492306,28.0149561372,367.470908887,2351.66906758
115,376.831695399,303.705259496,634.764907452,308.742578182,4.4067796848,35.1239348892,375.525053211,2034.39954981
120,364.081102605,331.065697624,401.047639204,205.623440881,9.51720990127,34.0282816409,258.450757254,1599.96445072
122,223.712480271,116.013601431,425.822567925,217.484124241,2.75612926965,11.1824044127,96.9960420415,1089.56157076
123,111.755358297,47.9474606761,154.459720099,86.3371988481,1.26103315325,2.86805514525,28.3960748728,429.67988235
